X1,X2,Alignment
-11.100418,7.039151,1.0
-4.408324,2.4032292,2.0
25.85249,-17.86199,1.0
-6.8270226,-28.962824,2.0
-15.00393,-1.3643574,1.0
26.366037,-19.586689,1.0
26.503859,-19.924994,2.0
-5.92258,-32.542442,2.0
1.9033878,11.808581,1.0
23.228651,17.427647,1.0
25.987436,-20.119864,0.0
22.30871,16.461275,2.0
20.382849,15.086041,2.0
-7.423879,-27.827915,1.0
-7.057827,-28.234518,1.0
-11.340596,6.813285,1.0
-8.36238,-27.834778,1.0
-5.1523223,4.1998553,1.0
-2.9026701,9.379751,1.0
-3.23638,10.416457,1.0
-5.6626387,12.908952,2.0
-8.010807,10.269988,1.0
-8.605686,-29.637405,1.0
3.7422118,10.172821,1.0
-14.306684,0.31443208,2.0
-5.7220373,11.638401,2.0
-8.331488,-30.227734,
-4.0352926,3.643112,1.0
-11.0543585,2.3141744,1.0
26.545893,-19.206282,1.0
26.0452,-19.092388,1.0
-10.893307,1.598482,2.0
3.4339676,6.963775,2.0
14.889561,14.781089,2.0
1.0235296,11.8655205,2.0
25.854502,-18.50015,2.0
-8.249006,-29.611355,1.0
-6.4325466,-29.363605,2.0
-6.825435,-29.529585,1.0
4.5039663,13.786799,1.0
-7.8967304,-27.742012,1.0
25.864931,-19.49067,1.0
-10.691749,1.7052723,1.0
-9.47648,-28.942768,2.0
10.431068,8.971356,1.0
-8.834942,-28.21138,1.0
-8.118466,-30.919338,1.0
-7.8400517,4.1159043,1.0
12.650498,16.398624,1.0
-5.6742134,6.201925,1.0
-8.361193,-31.239353,2.0
-5.5882974,3.5037284,1.0
-13.556585,1.9293522,1.0
-7.260159,-30.326977,2.0
-15.397765,-1.5475928,1.0
9.237566,16.718462,1.0
-0.56605875,8.2624235,1.0
-10.734616,2.840909,1.0
7.6222386,14.401278,2.0
-5.4074397,12.18933,1.0
-8.654936,-32.63017,1.0
8.716936,10.460939,1.0
-9.65871,-31.539349,1.0
-9.854833,-29.945772,1.0
19.344364,15.77051,1.0
9.677723,11.173293,1.0
-8.517426,-30.853653,1.0
-9.04696,-30.82573,1.0
16.549631,16.215605,1.0
-9.893724,-30.394497,1.0
-7.377164,-29.342648,2.0
-9.859431,7.686553,1.0
-6.562022,-30.982368,1.0
16.128412,16.476685,1.0
-9.01023,-31.218288,1.0
-3.7853537,4.881045,1.0
-15.79026,1.4418272,1.0
-4.4436316,7.236783,1.0
25.233335,-17.988565,2.0
26.070778,-17.83767,2.0
26.908844,-19.487757,2.0
26.897186,-18.938185,2.0
8.545221,10.077963,2.0
-3.5955307,3.9204206,2.0
-5.3603826,-29.229132,1.0
0.32527998,11.752582,1.0
24.928473,-19.696795,1.0
-7.9646015,-30.303337,1.0
-9.447201,-29.613583,2.0
12.909008,13.4273205,1.0
-9.036545,-29.423344,1.0
-8.232328,-28.455849,1.0
-6.699848,-28.530464,1.0
-12.526763,2.6994562,1.0
25.710972,-20.201855,1.0
25.754778,-18.480137,1.0
9.740517,14.053563,2.0
22.851068,17.25599,2.0
-3.650713,10.363428,1.0
-10.045584,-29.224669,2.0
-4.503661,7.5558906,1.0
-6.6215253,-30.023157,1.0
-16.654305,-3.1295438,1.0
-5.2797413,10.48826,1.0
2.2838175,11.230931,1.0
-4.9687824,2.0563262,1.0
19.77937,17.824835,1.0
26.380371,-18.68137,1.0
-10.189848,2.4006279,2.0
-16.235876,3.3752813,2.0
-4.1287384,7.1192346,1.0
3.456782,13.270628,1.0
8.131975,15.410773,1.0
-9.477183,6.015529,1.0
0.68370867,8.59763,0.0
6.4764647,12.361266,2.0
-1.1794733,6.9044366,1.0
17.604008,15.175818,0.0
-9.8630705,1.5178456,2.0
9.706013,11.212595,2.0
11.33099,16.533333,1.0
-15.972043,-6.6899576,1.0
5.000001,14.799697,2.0
26.954224,-18.673754,2.0
5.3436384,15.089996,1.0
-7.8134074,7.3885174,2.0
-7.472044,-30.1054,1.0
22.651772,17.670265,1.0
8.362789,8.940356,1.0
22.874533,17.163307,2.0
9.750443,15.475208,2.0
18.438993,14.053304,2.0
-6.6383142,1.3121603,1.0
-0.12065545,11.70009,2.0
-5.303639,10.374216,1.0
-10.933876,0.9192353,2.0
-3.8491004,3.355426,1.0
10.416857,13.961332,2.0
-7.0381308,-30.857054,1.0
-7.2425413,-28.865932,1.0
2.315414,11.3162565,1.0
11.766443,9.432599,1.0
25.51786,-19.114021,2.0
-10.323829,4.239234,2.0
21.569296,16.385883,2.0
22.50074,17.33233,1.0
-9.715828,4.361185,2.0
-8.394216,-31.728659,2.0
11.629712,13.067374,1.0
-11.0729265,-0.16868219,1.0
5.7858233,9.114858,1.0
-2.4215226,4.3993115,1.0
10.272396,8.962888,1.0
26.376581,-17.899246,1.0
-9.051494,-30.473038,1.0
0.17437561,14.683532,2.0
0.6200118,14.769171,1.0
0.93459547,14.906514,1.0
0.085661136,14.683811,1.0
-15.83475,-0.15687472,1.0
-7.0607853,-29.825647,1.0
-16.030855,-6.1583548,1.0
4.786034,9.560198,1.0
-7.006319,-31.7303,1.0
23.11563,16.875187,2.0
-6.994642,8.006019,1.0
-7.829168,-29.90926,0.0
-17.126093,-2.287696,1.0
23.84649,17.416275,1.0
-5.616921,-30.881681,1.0
8.342693,12.960606,2.0
-7.852427,-30.879341,1.0
-5.05835,-31.064747,1.0
